"species","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","clade","MAT","MAP"
"Portulaca elatior",247.88178300565,76.6093434011299,615.176053124294,1380.4238518983,310.82662679096,186.367842361582,124.508895412429,253.194211101695,240.332057327684,263.466650220339,226.048638830508,733.295911864407,131.309454841808,15.2231287853107,65.7868719096045,367.909506457627,49.8753466723164,197.43371779096,130.979265090395,"Portulaca",24.788178300565,73.3295911864407
"Portulaca eruca",170.40583495,84.6,404.3568451,4341.7484803,268.8755456,53.8677493,215.0598732,223.42615445,109.85698315,224.96224525,103.486379,895.1947571,163.39347835,12.02822805,71.51452085,465.87481085,39.6406002,438.3593201,40.8073231,"Portulaca",17.040583495,89.51947571
"Portulaca filifolia",247.224116985663,104.767325580645,434.336640383513,4632.89033405735,354.792442182796,110.862095322581,243.934228351254,292.851916136201,203.250630200717,301.080200082437,172.758489154122,513.083250971326,120.444481985663,5.90324281362007,85.5771644874552,342.336186290323,20.2799560609319,203.433135634409,29.6286756272401,"Portulaca",24.7224116985663,51.3083250971326
"Portulaca filsonii",217.949951542857,115.603452628571,401.111832085714,6093.09408477143,347.752828571429,59.3402675142857,288.407413971429,288.885187714286,173.927520342857,292.861853914286,123.672785114286,319.373733142857,52.3161773428571,8.2587964,54.5903247714286,148.463336542857,27.5908895142857,140.027340942857,40.3305412,"Portulaca",21.7949951542857,31.9373733142857
"Portulaca fluvialis",218.417566647059,78.4575904117647,491.821777352941,2577.76727658824,288.788722235294,127.841383294118,160.858643470588,240.062471294118,185.795860764706,247.176411352941,176.598264352941,1036.25907270588,165.420748294118,25.8879665882353,58.5656057058824,477.938139,85.9480435882353,411.243460176471,100.137115647059,"Portulaca",21.8417566647059,103.625907270588
"Portulaca foliosa",268.373021352941,90.5588235294118,503.843632382353,2205.95022055882,361.7666025,178.474924058824,183.240659411765,262.257065735294,254.149621470588,301.848548911765,236.091350382353,822.062958676471,185.733495588235,6.5042355,95.3394854117647,515.666571323529,23.6051874117647,126.177794705882,224.388601,"Portulaca",26.8373021352941,82.2062958676471
"Portulaca giuliettiae",213.4801697,71.9423774,603.2580718,1342.1427856,271.3340729,153.0149932,118.3028885,222.3896454,200.2691879,227.4825119,191.2954084,1019.4616761,176.4343177,23.4562311,63.8040626,499.2956558,78.3981278,335.6217973,118.0818148,"Portulaca",21.34801697,101.94616761
"Portulaca halimoides",218.758097475751,90.3092920969977,504.642039297921,3624.95334106236,321.953791422633,121.799195699769,200.181374528868,245.355673642032,227.179968360277,266.77259186836,167.869766706697,611.820468598152,111.48557282679,11.1326522771363,65.6107864411085,315.876028639723,37.2467027736721,171.250434110855,117.968296951501,"Portulaca",21.8758097475751,61.1820468598152
"Portulaca hatschbachii",193.096773941176,80.7497917647059,495.827107176471,2934.16979270588,264.046171352941,101.093711823529,162.875428176471,213.178715470588,159.297981823529,226.459822705882,147.811403117647,1777.74715647059,202.155540882353,88.3588181764706,22.8292087647059,584.797295,281.335967941176,562.663015882353,347.346790058824,"Portulaca",19.3096773941176,177.774715647059
"Portulaca hereroensis",197.433963333333,121.388267814815,473.257976407407,4459.837287,311.065468111111,52.0456895925926,259,238.070474185185,130.595426814815,248.646496296296,124.352076851852,459.499052777778,92.4774775925926,3.19383507407407,83.2911737777778,266.112717259259,11.0136475925926,181.652721333333,11.7691716666667,"Portulaca",19.7433963333333,45.9499052777778
"Portulaca hirsutissima",217.498654688406,75.4929592717391,595.339666405797,1447.75481227899,278.28787059058,151.401231057971,126.910254550725,226.336337275362,200.178114927536,233.142463025362,193.348163663043,1052.84558957971,195.997175253623,15.1271241666667,71.5509762318841,562.009109652174,50.2870002608696,374.227199771739,92.828772923913,"Portulaca",21.7498654688406,105.284558957971
"Portulaca intraterranea",236.987777320988,110.643159753086,393.438936197531,6029.34187219753,367.742999407407,84.8615368765432,282.910462740741,304.25530045679,192.303821395062,312.951735111111,145.415905962963,251.327917432099,50.6071863703704,5.95442125925926,55.6592257901235,141.425395580247,19.8378254567901,91.9348736049383,33.4824412839506,"Portulaca",23.6987777320988,25.1327917432099
"Portulaca kermesina",203.416492515152,115.306916393939,492.007258565657,4037.60892554545,306.892161959596,69.4126012222222,237.486172545455,242.541140808081,146.553712040404,249.655987363636,137.950217868687,497.579542626263,96.003642959596,5.12921775757576,80.5208482828283,276.119645787879,17.265121,220.482961282828,23.9110112121212,"Portulaca",20.3416492515152,49.7579542626263
"Portulaca L.",239.908858263037,85.856097577454,501.576312897239,2869.01639097086,322.214778065951,143.422400357362,178.806179659509,261.270694247699,215.55505561273,273.913642325153,194.164476621933,889.909209734663,174.131748800614,14.4004705521472,79.3772739179448,497.267142856595,48.0758502599693,257.851118484663,119.41753618635,"Portulaca",23.9908858263037,88.9909209734663
"Portulaca mexicana",192.320956857143,91.5068237142857,524.548735628571,2033.84323731429,276.961134571429,102.6359854,174.268134257143,206.828757142857,181.075385,218.820722257143,159.644478485714,894.45046,179.479225314286,11.6181981428571,88.3816077142857,511.644051285714,38.4907750285714,167.9273444,71.3941001714286,"Portulaca",19.2320956857143,89.445046
"Portulaca mucronata",234.942149108434,74.7293674016064,579.348588682731,1542.40573473896,298.460366807229,168.922381550201,129.539823963855,244.08179784739,220.774628650602,253.007993437751,210.534307180723,1000.94811988353,178.630224064257,18.5311272610442,67.4831395582329,507.934378859438,60.6969849919679,300.678689401606,147.694589975904,"Portulaca",23.4942149108434,100.094811988353
"Portulaca obtusa",165.184006923077,91.5384615384615,389.337144076923,4817.94978215385,272.952237538462,37.5331169230769,235.429513769231,222.707351692308,100.607559230769,225.429397615385,91.2215419230769,637.652242769231,123.850926384615,6.96482769230769,81.4624604615385,346.811736923077,21.5886260769231,328.951436,22.52545,"Portulaca",16.5184006923077,63.7652242769231
"Portulaca oligosperma",266.145191555556,98.6580139012346,476.148240814815,3247.5302628642,357.175860049383,148.844348271605,208.387274506173,288.610307901235,229.74333382716,302.952602098765,210.991504259259,736.662414172839,193.616700382716,1.87933971604938,109.986771481481,554.450859950617,8.36442239506173,218.297031111111,14.9546622098765,"Portulaca",26.6145191555556,73.666241417284
"Portulaca perennis",99.2296894,96.5482887,580.6921905,2035.1898558,172.303402,1.7202614,170.7120637,118.596827,66.5582697,120.4353187,65.5335095,448.6470894,99.2327705,4.5081823,104.2056983,276.7124,14.6829936,214.7205567,14.6829936,"Portulaca",9.92296894,44.86470894
"Portulaca pusilla",250.859657357143,47.5,640.0036185,530.922559428571,293.178573642857,217.853732428571,75.3388393571429,242.791831928571,256.4909635,258.442644428571,242.176302214286,2676.86583607143,421.077824142857,55.0867823571429,57.8454552857143,1254.99839557143,192.643954142857,323.919115357143,1210.64282328571,"Portulaca",25.0859657357143,267.686583607143
"Portulaca quadrifida",216.739917288043,91.6919561576087,498.359350777174,2755.25557541848,300.207872152174,117.239549021739,182.976636902174,236.040647733696,184.098862391304,250.437550233696,173.053859978261,739.468007027174,143.705965016304,9.99564571195652,76.9243067119565,401.63021275,34.1497872826087,237.67960138587,93.3743437336957,"Portulaca",21.6739917288043,73.9468007027174
"Portulaca rubricaulis",260.722236,45.335167245614,453.251789789474,1702.60654387719,307.509156315789,210.03257454386,97.5071436315789,273.972349438596,251.312752175439,280.26595745614,235.189008491228,976.896317368421,163.469286315789,26.9132435438597,58.1422463684211,463.191728578947,86.5725615964912,332.480782473684,141.319324526316,"Portulaca",26.0722236,97.6896317368421
"Portulaca sedifolia",251.774729269231,54.3797690769231,637.010826653846,657.936602115385,301.706589884615,215.364478538462,86.2893459615385,244.821979230769,255.231042807692,261.434509307692,242.248440615385,1874.27609965385,338.601919346154,32.335204,69.3120792692308,969.310781692308,104.654490653846,194.019060653846,815.241672884615,"Portulaca",25.1774729269231,187.427609965385
"Portulaca suffrutescens",176.431162853333,120.10450494,386.384667753333,6688.22103029333,334.08267556,22.090206,311.985372033333,244.35169672,200.186498806667,264.70317972,84.4348398066667,368.32581666,81.1059980533333,5.29971483333333,76.9407916066667,228.208834913333,18.44847218,170.483669,82.86321602,"Portulaca",17.6431162853333,36.832581666
"Portulaca umbraticola",219.557446264493,88.7245524855072,497.454943326087,3527.06218487319,317.235500717391,122.286310637681,194.95556784058,255.488791804348,218.221827568841,264.78697051087,169.423390565217,732.964661391304,133.755212460145,15.6842335181159,69.411344134058,379.01903276087,51.4195183768116,236.567552514493,131.820550630435,"Portulaca",21.9557446264493,73.2964661391304
"Portulaca werdermannii",216.298081506849,77.0147947671233,625.695390246575,1339.29914583562,276.359622753425,153.308593534247,123.109703287671,226.496203739726,201.357160424658,229.338371821918,193.802949041096,770.894499493151,124.414413109589,17.2971353424658,59.3199798219178,358.253279780822,55.6576279178082,275.141804246575,97.4344743972603,"Portulaca",21.6298081506849,77.0894499493151
"Portulaca wightiana",218.997106769231,101.158998615385,545.571859538462,2695.24742715385,305.554274384615,116.622334692308,188.790783769231,236.636255230769,194.727400076923,250.732977076923,175.936388461538,574.349002692308,121.282804692308,8.80788815384615,85.2339203076923,336.641393153846,28.8903481538462,194.721095846154,63.9073953846154,"Portulaca",21.8997106769231,57.4349002692308
