species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,genus,taxonRank,scientificName,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,collectionCode,occurrenceID,clade,CHELSA_BIOL_01,CHELSA_BIOL_02,CHELSA_BIOL_03,CHELSA_BIOL_04,CHELSA_BIOL_05,CHELSA_BIOL_06,CHELSA_BIOL_07,CHELSA_BIOL_08,CHELSA_BIOL_09,CHELSA_BIOL_10,CHELSA_BIOL_11,CHELSA_BIOL_12,CHELSA_BIOL_13,CHELSA_BIOL_14,CHELSA_BIOL_15,CHELSA_BIOL_16,CHELSA_BIOL_17,CHELSA_BIOL_18,CHELSA_BIOL_19
Calandrinia corrigioloides,117.8833,-34.5667,AUS,NA,2829343463,Montiaceae,Calandrinia,SPECIES,Calandrinia corrigioloides F.Muell. ex Benth.,50,1985,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,152,72,437.249786,3010.139893,243,79,164.512695,113,188.262909,194.262909,112.51281,547.013428,75.762474,20,42,220.78775,62.750103,66,199.762466
Calandrinia pumila,116.705866,-28.061508,AUS,NA,2829341187,Montiaceae,Calandrinia,SPECIES,Calandrinia pumila F.Muell.,100,2004,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,218,114,399,6071.788574,363,77,286,133,238,300,133,232.161407,37,7,50.728527,105,22.135736,62.271473,105
Calandrinia pygmaea,118.304444,-30.635,AUS,NA,2829340912,Montiaceae,Calandrinia,SPECIES,Calandrinia granulifera Benth.,100,2004,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,192.683304,106,392.350922,5829.878906,334.683319,63.683304,271,131.683304,244.683304,271.683319,113.683304,298.802368,41.366783,13,37.316696,117.401184,40,59.047588,116.000175
Calandrinia eremaea,120.550944,-29.922917,AUS,NA,2829335993,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,100,2011,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,197,108,396.913696,5903.568359,333.086304,60.516937,272.569366,251.086319,188.086319,275.516937,113.086319,268.026947,29.396746,11,26.913683,86.190239,39.966125,60.594025,80.362869
Calandrinia hortiorum,116.867646,-29.034092,AUS,NA,2829334280,Montiaceae,Calandrinia,SPECIES,Calandrinia hortiorum Obbens,100,2007,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,206.155655,111,397,5934.472656,351.15564,72.155647,279,144.365677,225.155655,288,125.155647,302.076477,46.844349,9,50.581306,137.167374,27.844351,66.533051,128.533051
Calandrinia creethae,121.500333,-29.346944,AUS,NA,2829334224,Montiaceae,Calandrinia,SPECIES,Calandrinia creethae Morrison,100,2016,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,207,111,403,5935.452148,341.935089,66,276,259.883423,201.935089,286,121,242.291992,30.556772,10,36,91.670311,30,53.113544,69.113541
Calandrinia eremaea,117.209194,-32.243083,AUS,NA,2829334177,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,NULL,2002,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,175.346741,100,409.40509,4900.145996,311.94165,66.346733,245.346741,112.346733,215.94165,244.346741,112.346733,381.415161,72.977943,8,70.207977,210.123657,27,39.215248,210.123657
Calandrinia eremaea,116.94673,-28.960081,AUS,NA,2829333937,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,100,2005,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,206.731216,111,396.87558,5963.487305,351.731201,71.731216,280,144.086212,226.086212,288.12442,125.08622,312.233856,48.489544,8.693024,51.314121,144.199844,26.992853,76.089203,129.717453
Calandrinia translucens,121.761724,-31.492181,AUS,NA,2829333312,Montiaceae,Calandrinia,SPECIES,Calandrinia translucens Obbens,100,2005,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,185.958405,104,421,4917.455566,314.034729,68.958412,246,131,229.958405,250.958405,116,247.961288,31.076309,13,24.496565,87.228928,42.579742,71,83.228928
Calandrinia pygmaea,115.442306,-28.908361,AUS,NA,2829332815,Montiaceae,Calandrinia,SPECIES,Calandrinia granulifera Benth.,100,2008,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,202.593521,101,401.513367,5055.854492,334.593536,82.593529,251.8022,138.558304,239.593521,273.593536,134.593521,387.391174,77.534988,7.406472,72.208672,212.765274,23.812943,40,212.765274
