"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","genus","taxonRank","scientificName","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","occurrenceID","clade","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","MAT","BasisOfRecord"
"Grahamia australiana",129.084647,-24.915278,"AUS","NA","2826917408","Anacampserotaceae","Grahamia","SPECIES","Anacampseros australiana J.M.Black","900",1973,NA,"DNA","DNA","NA","Anacampserotaceae",223.991119,115,396.008881,6339.724121,353.30777,62.991116,290.213562,298.30777,143.991119,301.30777,125.991119,337.025208,59.473045,10.325545,52.46088,159.298294,32.985519,123.05658,44.003284,22.3991119,"PRESERVED_SPECIMEN"
"Grahamia australiana",129.05132,-24.715277,"AUS","NA","2826839167","Anacampserotaceae","Grahamia","SPECIES","Anacampseros australiana J.M.Black","900",1972,NA,"DNA","DNA","NA","Anacampserotaceae",225.241562,115,395.588898,6310.382812,354.019592,64.822212,289.411102,299.019592,145.82222,302.019592,127.925026,346.030151,61.79245,10.905435,53.683456,166.788452,34.494328,129.610672,44.733833,22.5241562,"PRESERVED_SPECIMEN"
"Grahamia australiana",129.134651,-24.881943,"AUS","NA","2826795308","Anacampserotaceae","Grahamia","SPECIES","Anacampseros australiana J.M.Black","900",1978,NA,"DNA","DNA","NA","Anacampserotaceae",217.272812,115,398.316467,6270.182129,346.272797,57.589272,288.683533,291.272797,138.486404,294.272797,120.589272,331.207123,58.094269,10.316463,51.683537,155.385681,32.949387,120.172081,43.632923,21.7272812,"PRESERVED_SPECIMEN"
"Grahamia australiana",129.6783,-25.9811,"AUS","NA","2826784687","Anacampserotaceae","Grahamia","SPECIES","Anacampseros australiana J.M.Black","100",2009,NA,"DNA","DNA","NA","Anacampserotaceae",181.911392,118,411.480255,6063.385254,314.646454,27.12669,286.803467,256.911377,105.911385,257.627686,90.126686,424.763397,70.972519,13,43.844402,185.985977,45,140.122803,66,18.1911392,"PRESERVED_SPECIMEN"
"Grahamia australiana",134.634578,-23.098559,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1973,NA,"DNA","DNA","DNA:DNA:DNA A0052368","Anacampserotaceae",214,115,403,5961.184082,343,57.896389,285,286.896393,183.230225,286.896393,121.896385,337.394104,61.377762,8,58,165.570724,24.918818,165.570724,39.815208,21.4,"PreservedSpecimen"
"Grahamia australiana",132.3833,-23.4,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1998,NA,"DNA","NT","DNA:NT:NT A0097314","Anacampserotaceae",192.962051,117,415.369781,5810.010742,318.432953,37.008698,281.172546,260.432953,121.50827,264.432953,103.008698,345.9263,55.706177,7.512816,59.281242,164.353989,26.055149,148.530411,36.853088,19.2962051,"PreservedSpecimen"
"Grahamia australiana",132.765446,-24.224971,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","NULL",1995,NA,"DNA","DNA","DNA:DNA:DNA A0091895","Anacampserotaceae",216.767044,116,397.520172,6269.708984,349.396698,56.91687,292.109497,290.767029,184.094574,295.396698,120.58934,359.259369,49.040329,11.192634,44.32753,143.600815,35.192635,134.753128,52.23296,21.6767044,"PreservedSpecimen"
"Grahamia australiana",134.584595,-24.348559,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1995,NA,"DNA","DNA","DNA:DNA:DNA A0092172","Anacampserotaceae",230,116,389,6436.708008,365.689667,68.228821,297,293.03241,195.689667,310.689667,131.689667,263.464874,40.496269,8.771183,49.436192,116.845245,27.313549,102.32753,41.728298,23,"PreservedSpecimen"
"Grahamia australiana",133.317939,-23.731901,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1984,NA,"DNA","DNA","DNA:DNA:DNA A0075912","Anacampserotaceae",217.149597,116,399.311401,6168.172852,348.377197,57.688599,290.688599,293.377197,185.585678,293.377197,121.688599,285.563995,43.470573,9.414326,49.461002,122.3088,28.69817,122.3088,41.551197,21.7149597,"PreservedSpecimen"
"Grahamia australiana",132.834596,-23.648577,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1991,NA,"DNA","DNA","DNA:DNA:DNA A0087767","Anacampserotaceae",201.685135,116,407.584015,5978.454102,330.101379,44.747421,284.790863,275.538269,171.372574,275.538269,109.519424,342.656433,54.716778,9.355763,52,152.335129,31.649485,152.335129,47.589008,20.1685135,"PreservedSpecimen"
"Grahamia australiana",132.1167,-23.4833,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1999,NA,"DNA","DNA","DNA:DNA:DNA A0098592","Anacampserotaceae",224,117,402,6146.479492,353,62,291,289.656036,148,299,128.520706,266.020386,40.728813,6.728812,56.542377,120.916969,23.186436,108.188156,32.186436,22.4,"PreservedSpecimen"
